url,host_kind,status,error
https://digitalcitizen.kr/front/iNews/trend/selectTrendList.do,original,404,HTTPError 404
https://digitalcitizen.kr/front/iNew,original,404,HTTPError 404
https://digitalhumans.com/blog/why-we-wrote-the-five-laws-of-ethical-digital-human-design/,original,404,HTTPError 404
https://dre.pt/application/conteudo/132133788   https://www.ani.pt/pt/valorizacao-do-conhecimento/interface/zonas-livres-tecnol%C3%B3gicas/,original,,InvalidURL: URL can't contain control characters. '/application/conteudo/132133788   https://www.ani.pt/pt/valorizacao-do-conhecimento/interface/zonas-livres-tecnol%C3%B3gicas/' (found at least ' ')
https://dutchdigitaldelta.nl/en/about-topsector-ict,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.111999/asr   https://www.e-tar.lt/portal/lt/legalAct/caa8cc80f5e711e7a20bfa7c2b23a6b2,original,,InvalidURL: URL can't contain control characters. '/portal/legalAct/lt/TAD/TAIS.111999/asr   https://www.e-tar.lt/portal/lt/legalAct/caa8cc80f5e711e7a20bfa7c2b23a6b2' (found at least ' ')
https://eandt.theiet.org/content/articles/2019/05/darpa-funds-brain-machine-interface-project-for-controlling-weapons-via-thoughts/   https://www.technologyreview.com/2019/10/16/132269/us-military-super-soldiers-control-drones-brain-computer-interfaces/?u,original,,InvalidURL: URL can't contain control characters. '/content/articles/2019/05/darpa-funds-brain-machine-interface-project-for-controlling-weapons-via-thoughts/   https://www.technologyreview.com/2019/10/16/132269/us-military-super-soldiers-control-drones-brain-computer-interfaces/?u' (found at least ' ')
https://ec.europa.eu/digital-single-market/en/news/call-acquire-new-world-class-supercomputer-portugal   https://perin.pt/financiamento/eurohpc/   https://eurocc.fccn.pt/en/hpc-in-portugal/   https://hpc-portal.eu/taxonomy/term/98,original,,InvalidURL: URL can't contain control characters. '/digital-single-market/en/news/call-acquire-new-world-class-supercomputer-portugal   https://perin.pt/financiamento/eurohpc/   https://eurocc.fccn.pt/en/hpc-in-portugal/   https://hpc-portal.eu/taxonomy/term/98' (found at least ' ')
https://eiec.kdi.re.kr/policy/materialView.do?num=215524&topic=[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 46-49: ordinal not in range(128)
https://doc.lucia.cenaero.be/,original,,URLError: <urlopen error timed out>
https://docs.legis.wisconsin.gov/2023/related/acts/123,original,,URLError: <urlopen error timed out>
https://en.kosgeb.gov.tr/site/tr/genel/destekdetay/1230/kobigel-sme-development-support-programme,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://en.digst.dk/media/lvgntc3r/bilag-2a-knowledge-assessment-of-projects-of-the-national-artificial-intelligence-uptake-fund.pdf,original,404,HTTPError 404
https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-portal,original,,URLError: <urlopen error timed out>
https://en.digst.dk/strategy/the-national-strategy-for-digitalisation/,original,404,HTTPError 404
https://english.msit.go.kr/eng/bbs/view.do?sCode=eng&mId=10&mPid=9&bbsSeqNo=46&nttSeqNo=9   https://oecd.ai/en/wonk/documents/korea-national-strategy-for-ai-2019,original,,InvalidURL: URL can't contain control characters. '/eng/bbs/view.do?sCode=eng&mId=10&mPid=9&bbsSeqNo=46&nttSeqNo=9   https://oecd.ai/en/wonk/documents/korea-national-strategy-for-ai-2019' (found at least ' ')
https://engpro.swa.gov.sa,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://en.unesco.org/events/regional-forum-artificial-intelligence-latin-america-and-caribbean,original,404,HTTPError 404
https://epsrc.ukri.org/research/ourportfolio/themes/engineering/activities/principlesofrobotics/[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 79-82: ordinal not in range(128)
https://euraxess.ec.europa.eu/worldwide/japan/call-trilateral-french-japanese-german-research-projects-artificial   https://www.dfg.de/en/research_funding/announcements_proposals/2019/info_wissenschaft_19_58/index.html,original,,InvalidURL: URL can't contain control characters. '/worldwide/japan/call-trilateral-french-japanese-german-research-projects-artificial   https://www.dfg.de/en/research_funding/announcements_proposals/2019/info_wissenschaft_19_58/index.html' (found at least ' ')
https://eureka-joint-call.eu/wp-content/uploads/2020/04/webinario-llamada-clusters-ia-presentacion-ai4es.pdf?x99494,original,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'eureka-joint-call.eu'. (_ssl.c:1129)>"
https://en.techgarden.kz/,original,,timeout: The read operation timed out
https://european-digital-innovation-hubs.ec.europa.eu/edih-catalogue/health-hubEuropean,original,404,HTTPError 404
https://events.unesco.org/event/?id=2862999922&lang=1033,original,404,HTTPError 404
https://eviden.com/insights/press-releases/eviden-to-deliver-perun-slovakias-new-supercomputer/,original,404,HTTPError 404
https://futuremobilityfinland.fi/#,original,,URLError: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
https://futuremobilityfinland.fi/wp-content/uploads/2022/08/Mobility-Solutions-from-Finland.pdf,original,,URLError: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
https://g20.org.za/wp-content/uploads/2025/11/2025-G20-Summit-Declaration.pdf,original,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'g20.org.za'. (_ssl.c:1129)>"
https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?sy=2024&id=1597&txtFormat=pdf&v=current,original,403,URLError: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>
https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=2510&sy=2024&sortoption=&txtsessionyear=2024&txtbillnumber=HB1688,original,,URLError: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>
https://globalsmartcityforum.sa/en/default.aspx,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://goblab.uai.cl/en/sma-fondo-ia/,original,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'goblab.uai.cl'. (_ssl.c:1129)>"
https://governor.maryland.gov/Lists/ExecutiveOrders/Attachments/31/EO%2001.01.2024.02%20Catalyzing%20the%20Responsible%20and%20Productive%20Use%20of%20Artificial%20Intelligence%20in%20Maryland%20State%20Government_Accessible.pdf,original,404,HTTPError 404
https://evinjeta.dars.si/en,original,,URLError: <urlopen error timed out>
https://gouvernement.lu/en/dossiers/2014/digital-letzebuerg.html,original,404,HTTPError 404
